label,repo,path_or_url,status,sha256,git_commits,notes
ai_governance_challenge_report,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/static/benchmarks/ai-governance-evidence-challenge-20260601T170829Z/REPORT.md,present,e2dbdf95d18d21553daa44abc3bd674586de227f161234dcd32790fd40dc4243,395cdef9d902ac05e12cce08d31ea2e7d2c6dd26 2026-06-01T17:09:12+00:00 Add AI governance evidence challenge packet,site repository evidence
qwen36_modal_feasibility,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/phase0/docs/Qwen36ModalFeasibility.md,present,fa03cef8b8ae1ce2f7efd10cb85b0ab3d6fc7233a1043b51f8ebef3e10344fc9,bf172647f8821bf10004b3aa8c54ff850578ec8f 2026-05-01T15:41:00+02:00 Promote Qwen3.6 as the active scoring model | 793a2f14b91d3422ac054a4f459f3f0dac796700 2026-04-30T20:36:42+02:00 Add Qwen3.6 Modal feasibility evaluation,local evidence; publish separately if readers need direct public access
qwen36_deploy_doc,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/phase0/docs/DeployQwen36_27B.md,present,882bed29396156841d6f7ba2b444eba30d40a5015499209ef24cda0dc937b007,7fe066daeb8c8421a00f200be24479a53b42733c 2026-05-21T13:32:54+02:00 Pin Modal deployments to configured model revisions | e99eeb0030d984dc843614d51114826b6f2c48f6 2026-05-11T13:04:18+02:00 Cap Modal SGLang scoring containers at three. | 793a2f14b91d3422ac054a4f459f3f0dac796700 2026-04-30T20:36:42+02:00 Add Qwen3.6 Modal feasibility evaluation,local evidence; publish separately if readers need direct public access
qwen36_quality_comparison,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/phase0/docs/ModelQualityComparison_Qwen36_27B.md,present,f7efd3d7d18d9426576ad946502e13c87c52970df35e06b851732e82b106aba1,bf172647f8821bf10004b3aa8c54ff850578ec8f 2026-05-01T15:41:00+02:00 Promote Qwen3.6 as the active scoring model | 793a2f14b91d3422ac054a4f459f3f0dac796700 2026-04-30T20:36:42+02:00 Add Qwen3.6 Modal feasibility evaluation | 5476e89d6357dbcdfde62fd5c359ad2d884e65a8 2026-04-30T10:07:53+02:00 Add Qwen3.6 model quality comparison,local evidence; publish separately if readers need direct public access
qwen36_thinking_comparison,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/phase0/docs/Qwen36ThinkingModeComparison.md,present,6ea488e14bd632a3f073c4797d510bcd0cbd76f7c53cc8efdf9ec550dbc431bd,2883ebb33911d97a6bf54cf1cb2ae13ce8d2f19c 2026-05-01T08:56:59+02:00 Compare Qwen3.6 thinking mode for scoring,local evidence; publish separately if readers need direct public access
qwen36_deploy_wrapper,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/infra/deploy_qwen36_endpoint.py,present,75d8f976734685d40b1c6144f4fa839ec4dba3b616d725131c1428c9ee5bae4f,e0b4cfb375a79d9877efb4d5f8f81624f347268f 2026-05-21T18:17:36+02:00 Package Modal infra sources for deployment | 7fe066daeb8c8421a00f200be24479a53b42733c 2026-05-21T13:32:54+02:00 Pin Modal deployments to configured model revisions | bf172647f8821bf10004b3aa8c54ff850578ec8f 2026-05-01T15:41:00+02:00 Promote Qwen3.6 as the active scoring model | 793a2f14b91d3422ac054a4f459f3f0dac796700 2026-04-30T20:36:42+02:00 Add Qwen3.6 Modal feasibility evaluation,local evidence; publish separately if readers need direct public access
sglang_deploy_impl,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/infra/deploy_endpoint.py,present,1ce611a658d4c8d551f9ddeb556e7283cf7ab61bb554288d46cec3a674a61e4c,e0b4cfb375a79d9877efb4d5f8f81624f347268f 2026-05-21T18:17:36+02:00 Package Modal infra sources for deployment | 7fe066daeb8c8421a00f200be24479a53b42733c 2026-05-21T13:32:54+02:00 Pin Modal deployments to configured model revisions | 7ab410a3603a4beec9315d69529c2d6c42dc6f4f 2026-05-11T18:55:35+02:00 Require Modal proxy auth for scoring endpoint | e99eeb0030d984dc843614d51114826b6f2c48f6 2026-05-11T13:04:18+02:00 Cap Modal SGLang scoring containers at three. | bf172647f8821bf10004b3aa8c54ff850578ec8f 2026-05-01T15:41:00+02:00 Promote Qwen3.6 as the active scoring model,local evidence; publish separately if readers need direct public access
qwen36_scoring_run_1,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/phase0/results/modal/qwen36-27b-fp8/2026-04-30_qwen36-27b-fp8_scoring-v2/run_1.json,present,2c5621b622cba0bc70e1ac79218da6b8cff2bd19e94be11e2b09151ee113a5e6,793a2f14b91d3422ac054a4f459f3f0dac796700 2026-04-30T20:36:42+02:00 Add Qwen3.6 Modal feasibility evaluation,local evidence; publish separately if readers need direct public access
testnet_env_reference,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/.env.testnet,present,274245a1113e4e0eca8f503d25b4b9e630e6e8d638d6b09980c5c34c08bd6161,7fe066daeb8c8421a00f200be24479a53b42733c 2026-05-21T13:32:54+02:00 Pin Modal deployments to configured model revisions | 34c712c5dc25aba9a47e204f9fd8e8d4dd9764c7 2026-05-18T20:26:06+02:00 Implement staged scoring artifact publishing | 7ab410a3603a4beec9315d69529c2d6c42dc6f4f 2026-05-11T18:55:35+02:00 Require Modal proxy auth for scoring endpoint | de36b8936a1325b342e6b89738d934afc1579726 2026-05-05T18:25:59+02:00 Reduce testnet scheduler startup delay | 11eeb76d153ae3a2c9e26eeb011c6cd8689ee212 2026-05-05T17:21:12+02:00 Delay testnet scheduled scoring startup by 30 days,local evidence; publish separately if readers need direct public access
scoring_config_source,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/scoring_service/config.py,present,0a338a8a787515030cbb8c22b9c8b6d1ccd4d6adf4c22a797be02d145544d4d0,34c712c5dc25aba9a47e204f9fd8e8d4dd9764c7 2026-05-18T20:26:06+02:00 Implement staged scoring artifact publishing | 7ab410a3603a4beec9315d69529c2d6c42dc6f4f 2026-05-11T18:55:35+02:00 Require Modal proxy auth for scoring endpoint | d29d0b4d6e7a6baf80cc84fd9771e8e5ca4346e1 2026-05-04T18:06:18+02:00 Harden external-service failure handling for scoring rounds | a4ddb04dfa44eeee0de811533c57898b63e8c650 2026-05-04T17:04:25+02:00 Exclude legacy validator server versions before scoring | bf172647f8821bf10004b3aa8c54ff850578ec8f 2026-05-01T15:41:00+02:00 Promote Qwen3.6 as the active scoring model,local evidence; publish separately if readers need direct public access
ipfs_publisher_source,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/scoring_service/services/ipfs_publisher.py,present,75b447a9f4031283e7fd1c1fa80d0582871a93d374bec9da34be8d6660fc17a9,e3a7060b30d84cc7ae4d7e0dcbf8bce5b661ef46 2026-05-20T12:45:44+02:00 Add collector exclusion policy to execution manifests | de74a0bf616c882a8d1f7dea23a4fede6f4ea2b4 2026-05-19T12:36:56+02:00 Add canonical verification hashes to scoring bundles | 34c712c5dc25aba9a47e204f9fd8e8d4dd9764c7 2026-05-18T20:26:06+02:00 Implement staged scoring artifact publishing | 92e3803193283885fba905868db4c39f43bb36b7 2026-05-11T20:19:45+02:00 Make network report prompt selection aware | e6cfd226da711e5b80684beb2cc16cd39d899aff 2026-05-08T18:10:24+02:00 Activate structured network report prompt,local evidence; publish separately if readers need direct public access
public_scoring_config_endpoint_source,dynamic-unl-scoring,/home/postfiat/repos/dynamic-unl-scoring/scoring_service/api/scoring.py,present,10b5679ddca0e0afdece49cfeb99b6d2345378d7f1d706d1fa2ab6a82bd8e891,4482b9e14fb90c53ada2a55c5595dd7eb41a7040 2026-05-19T17:58:48+02:00 Rename the final bundle CID contract | 34c712c5dc25aba9a47e204f9fd8e8d4dd9764c7 2026-05-18T20:26:06+02:00 Implement staged scoring artifact publishing | 3f86513acd15db07aa08ad932a2668c42e630027 2026-05-08T12:42:41+02:00 Privatize dry-run scoring lifecycle | 1af00068de480fa62d797c656ef747c2c1df9d7b 2026-05-04T18:30:00+02:00 Harden round concurrency locking across scoring and publication paths | d29d0b4d6e7a6baf80cc84fd9771e8e5ca4346e1 2026-05-04T18:06:18+02:00 Harden external-service failure handling for scoring rounds,local evidence; publish separately if readers need direct public access
