event_id,cluster_id,event_name,event_type,status,default_vote,amendment_id,controversy_score,signals,route_hint,evidence_grade,included_in_13_seed,independence_unit,source_ids,source_urls,description
incident-amm-post-launch-pool-discrepancy-2024,amm,AMM post-launch pool discrepancy,post_launch_bug,historical incident,,,18,known_bug|follow_up_fix|public_debate|user_fund_or_accounting_risk|new_financial_primitive,DELAY_FOR_FIX,A,True,real_public_incident_or_release_response,xrpl_amm_status_update_2024|xrpl_amendments_process,https://xrpl.org/blog/2024/amm-status-update|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Official update said AMM went live on 2024-03-22, pool discrepancies were found, and a fix required another amendment."
known-enforceinvariants,issuer-control,EnforceInvariants,amendment_candidate,Enabled,Yes,DC9CA96AEA1DCF83E527D1AFC916EFAF5D27388ECA4060A88817C1238CAEE0BF,18,known_bug|asset_control_or_compliance|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk,HOLD_FOR_CHALLENGE,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#enforceinvariants|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adds sanity checks to transaction processing to ensure that certain conditions are always met. This provides an extra, independent layer of protection against bugs in transaction processing that could otherwise cause exploits and vulnerabilities in the XRP Ledger. Future versions of rippled may add more invariants without additional amendments. Introduces two new transaction error codes, tecINVARIANT_FAILED and tefINVARIANT_FAILED. Changes transaction processing to add the new checks. Examples of invariant checks: The total amount of XRP destroyed by a transaction must match the transaction cost exactly.XRP cannot be created.AccountRoot objects in the ledger cannot be deleted unless DeletableAccounts is enabled. (See also: Deleting Accounts.)An entry in the ledger cannot change its type. (The LedgerEntryType field is immutable.)There cannot be a trust line for XRP."
known-depositauth,custody-timing,DepositAuth,amendment_candidate,Enabled,Yes,F64E1EABBE79D55B3BB82020516CEC2C582A98A6BFE20FBE9BB6A0D233418064,18,known_bug|follow_up_fix|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#depositauth|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adds a new account flag, DepositAuth, which lets an account strictly reject any incoming money from transactions sent by other accounts. Businesses can use this flag to comply with strict regulations that require due diligence before receiving money from any source. When an account enables this flag, Payment transactions fail if the account is the destination, regardless of whether the Payment would have delivered XRP or a token. EscrowFinish and PaymentChannelClaim transactions fail if the account is the destination unless the destination account itself sends those transactions. If the Checks amendment is enabled, the account can receive XRP or tokens by sending CheckCash transactions. As an exception, accounts with DepositAuth enabled can receive Payment transactions for small amounts of XRP (equal or less than the minimum account reserve) if their current XRP balance is below the account reserve. Also fixes a bug in the EscrowCreate and PaymentChannelCreate transactions where they mistakenly enforced the Disallow XRP flag, which is meant to be a non-binding advisory flag. (By not enforcing Disallow XRP in the ledger itself an account can still receive the necessary XRP to meet its account reserve and pay transaction costs.)"
incident-batch-vulnerability-2026,batch,Batch vulnerability and validator no-vote response,vulnerability_response,prevented before mainnet activation,No,,17,known_bug|obsolete_or_disabled|security_or_liveness|public_debate|user_fund_or_accounting_risk,REJECT,A,True,real_public_incident_or_release_response,xrpl_batch_vulnerability_2026|xrpl_rippled_3_1_1|xrpl_known_amendments,https://xrpl.org/blog/2026/vulnerabilitydisclosurereport-bug-feb2026|https://xrpl.org/blog/2026/rippled-3.1.1|https://xrpl.org/resources/known-amendments,"Official disclosure says a signature-validation flaw could have allowed unauthorized inner transaction execution, UNL validators were advised to vote No, and 3.1.1 marked Batch and fixBatchInnerSigs unsupported."
known-fixtokenescrowv1,mpt,fixTokenEscrowV1,amendment_candidate,Open for Voting,No,32B8614321F7E070419115ABEAB1742EA20F3E3AF34432B5E2F474F8083260DC,17,asset_control_or_compliance|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|active_vote_surface|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixtokenescrowv1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes an accounting error in MPT escrows. Specifically, when an escrow unlocks MPTs that have a transfer fee, the system incorrectly reduces the MPT issuer's locked token balance by the gross amount (without fees) rather than the net amount (with fees). This leads to discrepancies in the token's total supply accounting. This amendment ensures that when escrowed MPTs are unlocked, the issuer's locked amount is reduced by the net amount, and the total supply is reduced by the transfer fees."
known-fixnftokenpagelinks,nft,fixNFTokenPageLinks,amendment_candidate,Enabled,No,C7981B764EC4439123A86CC7CCBA436E9B3FF73B3F10A0AE51882E404522FC41,16,known_bug|follow_up_fix|new_financial_primitive|security_or_liveness|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixnftokenpagelinks|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes a bug that can cause NFT directories to have missing links in the middle of the directory chain. It also introduces invariant checks that can prevent similar types of corruption from occurring in the future, and introduces a new transaction type: LedgerStateFix transactions can be used to repair corruptions in ledger data. With this amendment enabled, you can use a LedgerStateFix transaction to repair a broken link in NFT directories. In the case that future bugs cause new types of ledger corruption, this transaction type can be extended to repair the other types of corruption as well. Without this amendment, it is possible in specific circumstances to delete the last page of an NFT directory, then later create a new last page that is missing a link to the previous page. For a detailed description of the scenario that can cause this problem, see PR #4945. With this amendment, the bug that caused that corruption is fixed; additionally, a new invariant check ensures that other bugs cannot remove the last page inappropriately."
known-fixbatchinnersigs,batch,fixBatchInnerSigs,amendment_candidate,Obsolete,No,267624F8F744C4A4F1B5821A7D54410BCEBABE987F0172EE89E5FC4B6EDBC18A,16,known_bug|follow_up_fix|obsolete_or_disabled|security_or_liveness|default_no_surface,REJECT,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixbatchinnersigs|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes an issue where inner transactions of a Batch transaction would be flagged as having valid signatures. Since inner transactions aren't signed directly, they should never have valid signatures. This amendment was disabled in v3.1.1 due to a bug. It will be replaced by BatchV1_1 in a future release."
release-rippled-2-6-1-permission-delegation-disabled,permissioned-access,rippled 2.6.1 disables PermissionDelegation,release_response,release response,No,,15,known_bug|obsolete_or_disabled|security_or_liveness|asset_control_or_compliance,REJECT,A,False,real_public_incident_or_release_response,xrpl_rippled_2_6_1,https://xrpl.org/blog/2025/rippled-2.6.1,"Release notes say PermissionDelegation was disabled after a discovered bug, with a replacement planned."
known-nonfungibletokensv1-1,nft,NonFungibleTokensV1_1,amendment_candidate,Enabled,No,32A122F1352A4C7B3A6D790362CC34749C5E57FCE896377BFDC6CCD14F6CD627,15,asset_control_or_compliance|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#nonfungibletokensv1_1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adds native support for non-fungible tokens, including fixes to several issues that were discovered after NonFungibleTokensV1. This amendment combines the effects of the following amendments, rendering the individual amendments obsolete: NonFungibleTokensV1fixNFTokenNegOfferfixNFTokenDirV1 It has no other effects. The fixRemoveNFTokenAutoTrustLine fixes an known issue with this amendment. When creating a new test network, you should make sure that these amendments should be enabled together or the fix amendment is enabled first."
known-fixinvalidtxflags,permissioned-access,fixInvalidTxFlags,amendment_candidate,Enabled,No,8EC4304A06AF03BE953EA6EDA494864F6F3F30AA002BABA35869FBB8C6AE5D52,15,asset_control_or_compliance|follow_up_fix|new_financial_primitive|security_or_liveness|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixinvalidtxflags|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adds flag checks for CredentialCreate, CredentialAccept, CredentialDelete, and SignerListSet transactions. With this amendment enabled, these transactions will return a temINVALID_FLAG error if they include a flag that doesn't exist, or a contradictory combination of flags."
known-fixfrozenlptokentransfer,amm,fixFrozenLPTokenTransfer,amendment_candidate,Enabled,No,83FD6594FF83C1D105BD2B41D7E242D86ECB4A8220BD9AF4DA35CB0F69E39B2A,15,asset_control_or_compliance|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixfrozenlptokentransfer|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes a loophole that enabled blacklisted accounts to transfer frozen LP tokens through alternative mechanisms, such as such as payments, checks, offers, or NFTs. With this amendment enabled, if an LP token is associated with a liquidity pool that contains at least one frozen asset, the LP token is also frozen. This means: The holder can't send the frozen LP token to other accounts.The holder can receive frozen LP tokens, but can't send them out (similar to frozen trust lines)."
known-fix1781,custody-timing,fix1781,amendment_candidate,Enabled,Yes,25BA44241B3BD880770BFA4DA21C7180576831855368CBEC6A3154FDE4A7676E,15,known_bug|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fix1781|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes a bug where certain XRP endpoints were not checked when detecting circular paths. Without this amendment, it is possible to have a payment path where the input to the path is XRP, and an intermediate path step also outputs XRP. This is a ""loop"" payment, and the payment engine disallows such paths because they can have different results when executed forward compared to backwards. With this amendment, those payments fail with the temBAD_PATH_LOOP result code instead."
known-mptokensv1,mpt,MPTokensV1,amendment_candidate,Enabled,No,950AE2EA4654E47F04AA8739C0B214E242097E802FD372D24047A89AB1F5EC38,14,asset_control_or_compliance|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk|default_no_surface,HOLD_FOR_CHALLENGE,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#mptokensv1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Implements a new type of fungible token, called a Multi-Purpose Token (MPT). This token type is optimized to be used for common token use cases such as stablecoins, and are intended to avoid some of the complexity inherent to the XRP Ledger's existing fungible tokens which are stored in bidirectional trust lines. This amendment adds the following: New ledger entry types: MPToken - represents tokens held by a specific account, including the amount held and who issued them.MPTokenIssuance - records information and settings for a specific issuance of MPT, such as the scale and transfer fee of those tokens. Transaction types: (New) MPTokenIssuanceCreate - Define a new issuance of MPTs.(New) MPTokenIssuanceDestroy - Remove an issuance definition.(New) MPTokenIssuanceSet - Modify an issuance definition.(New) MPTokenAuthorize - Allow an account to hold a specific issuance definition.(Updated) Payment transactions can also send MPTs.(Updated) Clawback transactions can also claw back MPTs if the issuance definition allows clawback. API Methods: (New) mpt_holders method - Returns a list of accounts that hold a specific MPT issuance.(Updated) ledger_entry method - Can look up MPToken and MPTokenIssuance ledger entry types."
known-sponsor,fee-reserve,Sponsor,amendment_candidate,In Development,No,BE1F90581635DBCEBFC4678C4B54FEDDC1A17B50FD02CFE765A4132A342126AC,14,asset_control_or_compliance|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk|default_no_surface,HOLD_FOR_CHALLENGE,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#sponsor|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"The Sponsor amendment removes onboarding friction by allowing companies, token issuers, and other entities to subsidize transaction costs and reserve requirements for end users. Sponsors can co-sign transactions or pre-fund sponsorships, covering fees and reserves, while sponsees retain full control of their accounts and keys. For more details, see XLS-68: Sponsored Fees and Reserves."
release-rippled-3-1-1-batch-disabled,batch,rippled 3.1.1 disables Batch and fixBatchInnerSigs,release_response,release response,No,,14,known_bug|obsolete_or_disabled|security_or_liveness|public_debate,REJECT,A,False,real_public_incident_or_release_response,xrpl_rippled_3_1_1|xrpl_batch_vulnerability_2026,https://xrpl.org/blog/2026/rippled-3.1.1|https://xrpl.org/blog/2026/vulnerabilitydisclosurereport-bug-feb2026,Release notes superseded 3.1.0 and disabled Batch and fixBatchInnerSigs due to a severe bug.
incident-malicious-transaction-crash-2024,consensus-liveness,Malicious transaction crash and brief network pause,vulnerability_response,fixed after private disclosure,,,14,known_bug|security_or_liveness|public_debate|user_fund_or_accounting_risk,DELAY_FOR_FIX,A,False,real_public_incident_or_release_response,xrpl_malicious_transaction_crash_2024,https://xrpl.org/blog/2025/vulnerabilitydisclosurereport-bug-nov2024,Official disclosure describes a malicious transaction that crashed nodes and caused the network to pause new transactions momentarily.
known-fixtrustlinestoself,issuer-control,fixTrustLinesToSelf,amendment_candidate,Enabled,No,F1ED6B4A411D8B872E65B9DCB4C8B100375B0DD3D62D07192E011D6D7F339013,14,known_bug|asset_control_or_compliance|follow_up_fix|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixtrustlinestoself|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment removes two trust lines from an account to itself that were created due to an old bug (both on 2013-05-07). When the amendment becomes enabled, it deletes trust lines with the IDs 2F8F21EFCAFD7ACFB07D5BB04F0D2E18587820C7611305BB674A64EAB0FA71E1 and 326035D5C0560A9DA8636545DD5A1B0DFCFF63E68D491B5522B767BB00564B1A if they exist. After doing so, the amendment does nothing else. On test networks that do not have these trust lines, the amendment has no effect."
known-fixprevioustxnid,amm,fixPreviousTxnID,amendment_candidate,Enabled,No,7BB62DC13EC72B775091E9C71BF8CF97E122647693B50C5E87A80DFD6FCFAC50,14,follow_up_fix|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixprevioustxnid|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment adds PreviousTxnID and PreviousTxnLgrSequence fields to ledger entries that did not already have them, namely DirectoryNode, Amendments, FeeSettings, NegativeUNL, and AMM. Ledger entries that were created before this amendment was enabled will get the new fields whenever a transaction modifies those entries. Without this amendment, some types of ledger entries don't have those fields, which makes it harder to trace the history of modifications to those ledger entries."
known-fixnftokendirv1,nft,fixNFTokenDirV1,amendment_candidate,Obsolete,No,0285B7E5E08E1A8E4C15636F0591D87F73CB6A7B6452A932AD72BBC8E5D1CBE3,14,follow_up_fix|new_financial_primitive|obsolete_or_disabled|security_or_liveness|default_no_surface,HOLD_FOR_CHALLENGE,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixnftokendirv1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes an off-by-one error that occurred in some corner cases when determining which NFTokenPage a NFToken object belongs on. It also adjusts the constraints of NFTokenPage invariant checks, so that certain error cases fail with a suitable error code such as tecNO_SUITABLE_TOKEN_PAGE instead of failing with a tecINVARIANT_FAILED error code. This amendment has no effect unless the NonFungibleTokensV1 amendment is enabled. This amendment is obsolete because its effects are included as part of NonFungibleTokensV1_1."
