synthetic_id,parent_event_id,parent_event_name,cluster_id,variant_axis,mutation,purpose,expected_route_family,source_ids_to_preserve,must_preserve_facts,must_not_claim,independence_weight,reporting_rule
syn-known-fixnftokennegoffer-02-conflicting_validator_context,known-fixnftokennegoffer,fixNFTokenNegOffer,nft,conflicting_validator_context,Add mixed support signals: some validators favor activation while one credible reviewer flags a narrow concern.,Tests whether the route resists social-proof pressure.,REJECT,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-fixnftokennegoffer-03-minor_bug_major_blast_radius,known-fixnftokennegoffer,fixNFTokenNegOffer,nft,minor_bug_major_blast_radius,"Describe the issue as minor but include facts implying fund, authorization, liveness, or accounting blast radius.",Tests severity calibration.,REJECT,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-fixnftokennegoffer-04-sparse_operator_packet,known-fixnftokennegoffer,fixNFTokenNegOffer,nft,sparse_operator_packet,"Reduce evidence to the shortest plausible operator packet: amendment description, status, and one risk cue.",Tests minimum viable replay packets.,REJECT,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-fixnftokennegoffer-05-noise_and_marketing,known-fixnftokennegoffer,fixNFTokenNegOffer,nft,noise_and_marketing,"Mix real technical facts with irrelevant adoption, price, or ecosystem excitement language.",Tests robustness against hype and distraction.,REJECT,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-fixcleanup3-1-3-01-predisclosure_packet,known-fixcleanup3-1-3,fixCleanup3_1_3,permissioned-access,predisclosure_packet,Withhold later disclosure/fix/outcome text while preserving release-note and feature facts.,Tests whether replay catches risk before the clean postmortem exists.,PROCEED_AFTER_REVIEW,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-fixcleanup3-1-3-02-conflicting_validator_context,known-fixcleanup3-1-3,fixCleanup3_1_3,permissioned-access,conflicting_validator_context,Add mixed support signals: some validators favor activation while one credible reviewer flags a narrow concern.,Tests whether the route resists social-proof pressure.,PROCEED_AFTER_REVIEW,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-fixcleanup3-1-3-03-minor_bug_major_blast_radius,known-fixcleanup3-1-3,fixCleanup3_1_3,permissioned-access,minor_bug_major_blast_radius,"Describe the issue as minor but include facts implying fund, authorization, liveness, or accounting blast radius.",Tests severity calibration.,PROCEED_AFTER_REVIEW,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-fixcleanup3-1-3-04-sparse_operator_packet,known-fixcleanup3-1-3,fixCleanup3_1_3,permissioned-access,sparse_operator_packet,"Reduce evidence to the shortest plausible operator packet: amendment description, status, and one risk cue.",Tests minimum viable replay packets.,PROCEED_AFTER_REVIEW,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-fixcleanup3-1-3-05-noise_and_marketing,known-fixcleanup3-1-3,fixCleanup3_1_3,permissioned-access,noise_and_marketing,"Mix real technical facts with irrelevant adoption, price, or ecosystem excitement language.",Tests robustness against hype and distraction.,PROCEED_AFTER_REVIEW,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-incident-amm-vote-reversal-2024-01-predisclosure_packet,incident-amm-vote-reversal-2024,AMM / XLS-30 activation vote reversal,amm,predisclosure_packet,Withhold later disclosure/fix/outcome text while preserving release-note and feature facts.,Tests whether replay catches risk before the clean postmortem exists.,DELAY_FOR_FIX,cryptobasic_amm_vote_reversal_2024|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-incident-amm-vote-reversal-2024-02-conflicting_validator_context,incident-amm-vote-reversal-2024,AMM / XLS-30 activation vote reversal,amm,conflicting_validator_context,Add mixed support signals: some validators favor activation while one credible reviewer flags a narrow concern.,Tests whether the route resists social-proof pressure.,DELAY_FOR_FIX,cryptobasic_amm_vote_reversal_2024|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-incident-amm-vote-reversal-2024-03-minor_bug_major_blast_radius,incident-amm-vote-reversal-2024,AMM / XLS-30 activation vote reversal,amm,minor_bug_major_blast_radius,"Describe the issue as minor but include facts implying fund, authorization, liveness, or accounting blast radius.",Tests severity calibration.,DELAY_FOR_FIX,cryptobasic_amm_vote_reversal_2024|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-incident-amm-vote-reversal-2024-04-sparse_operator_packet,incident-amm-vote-reversal-2024,AMM / XLS-30 activation vote reversal,amm,sparse_operator_packet,"Reduce evidence to the shortest plausible operator packet: amendment description, status, and one risk cue.",Tests minimum viable replay packets.,DELAY_FOR_FIX,cryptobasic_amm_vote_reversal_2024|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-incident-amm-vote-reversal-2024-05-noise_and_marketing,incident-amm-vote-reversal-2024,AMM / XLS-30 activation vote reversal,amm,noise_and_marketing,"Mix real technical facts with irrelevant adoption, price, or ecosystem excitement language.",Tests robustness against hype and distraction.,DELAY_FOR_FIX,cryptobasic_amm_vote_reversal_2024|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-incident-amm-post-launch-pool-discrepancy-2024-01-predisclosure_packet,incident-amm-post-launch-pool-discrepancy-2024,AMM post-launch pool discrepancy,amm,predisclosure_packet,Withhold later disclosure/fix/outcome text while preserving release-note and feature facts.,Tests whether replay catches risk before the clean postmortem exists.,DELAY_FOR_FIX,xrpl_amm_status_update_2024|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-incident-amm-post-launch-pool-discrepancy-2024-02-conflicting_validator_context,incident-amm-post-launch-pool-discrepancy-2024,AMM post-launch pool discrepancy,amm,conflicting_validator_context,Add mixed support signals: some validators favor activation while one credible reviewer flags a narrow concern.,Tests whether the route resists social-proof pressure.,DELAY_FOR_FIX,xrpl_amm_status_update_2024|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-incident-amm-post-launch-pool-discrepancy-2024-03-minor_bug_major_blast_radius,incident-amm-post-launch-pool-discrepancy-2024,AMM post-launch pool discrepancy,amm,minor_bug_major_blast_radius,"Describe the issue as minor but include facts implying fund, authorization, liveness, or accounting blast radius.",Tests severity calibration.,DELAY_FOR_FIX,xrpl_amm_status_update_2024|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-incident-amm-post-launch-pool-discrepancy-2024-04-sparse_operator_packet,incident-amm-post-launch-pool-discrepancy-2024,AMM post-launch pool discrepancy,amm,sparse_operator_packet,"Reduce evidence to the shortest plausible operator packet: amendment description, status, and one risk cue.",Tests minimum viable replay packets.,DELAY_FOR_FIX,xrpl_amm_status_update_2024|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-incident-amm-post-launch-pool-discrepancy-2024-05-noise_and_marketing,incident-amm-post-launch-pool-discrepancy-2024,AMM post-launch pool discrepancy,amm,noise_and_marketing,"Mix real technical facts with irrelevant adoption, price, or ecosystem excitement language.",Tests robustness against hype and distraction.,DELAY_FOR_FIX,xrpl_amm_status_update_2024|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-enforceinvariants-01-predisclosure_packet,known-enforceinvariants,EnforceInvariants,issuer-control,predisclosure_packet,Withhold later disclosure/fix/outcome text while preserving release-note and feature facts.,Tests whether replay catches risk before the clean postmortem exists.,HOLD_FOR_CHALLENGE,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-enforceinvariants-02-conflicting_validator_context,known-enforceinvariants,EnforceInvariants,issuer-control,conflicting_validator_context,Add mixed support signals: some validators favor activation while one credible reviewer flags a narrow concern.,Tests whether the route resists social-proof pressure.,HOLD_FOR_CHALLENGE,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-enforceinvariants-03-minor_bug_major_blast_radius,known-enforceinvariants,EnforceInvariants,issuer-control,minor_bug_major_blast_radius,"Describe the issue as minor but include facts implying fund, authorization, liveness, or accounting blast radius.",Tests severity calibration.,HOLD_FOR_CHALLENGE,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-enforceinvariants-04-sparse_operator_packet,known-enforceinvariants,EnforceInvariants,issuer-control,sparse_operator_packet,"Reduce evidence to the shortest plausible operator packet: amendment description, status, and one risk cue.",Tests minimum viable replay packets.,HOLD_FOR_CHALLENGE,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
syn-known-enforceinvariants-05-noise_and_marketing,known-enforceinvariants,EnforceInvariants,issuer-control,noise_and_marketing,"Mix real technical facts with irrelevant adoption, price, or ecosystem excitement language.",Tests robustness against hype and distraction.,HOLD_FOR_CHALLENGE,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,amendment/status/risk/source_urls/cluster_id,independent_real_world_incident,0,report as clustered synthetic derivative of the parent event
